Sentence,Topic,Indices,ArgumentIndices,Move,RValue,Class,SentenceId,Set,DocId,PredictedArgument,CoarseClass
"An easy fit with a touch of stretch offers her comfort throughout her day , while the faded wash and permanent cuffed hems give these long jean shorts their cute appeal . Most kids would be wearing the trendy cloths that are “ cool ” but if a kid wears something completely opposite , the “ cool ” kids would have to give him a bad time about it . This could be true to some extent but if a piece of clothing is disrupting or offending anyone should be removed and never seen on the premises .",school uniforms,"[(0, 32), (32, 69), (69, 98)]","[(38, 69)]",m1,0.838,IMP,C1.2227,train,doc_7260,"trendy cloths that are “ cool ” but if a kid wears something completely opposite , the “ cool ” kids would have to give him a bad time about it",DISP
"That could be due to Fair Labor Standards Act violations or permitted exemptions to the minimum wage law . ff $ 7.25 because they have no other choice need more money to survive , but more money in their paycheck will do them no good if the prices of goods they need also increase to accommodate their increas e an hour with further increases so that it is pegged to two-thirds of the New Zealand average ordinary time wage Increase training minimum wage rate to 90 % of the Adult minimum wage",minimum wage,"[(0, 33), (33, 58), (58, 92)]","[(33, 45)]",m1,0.48,SP,C1.1570,train,doc_5788,", but more money in their paycheck will do them no good",SP
"Telling your parents about your pregnancy may be difficult and scary . Fear that Future Children Will Die – Some post-abortive people live in fear that children they had before or after the abortion could easily die . If you are looking for ways to end your pregnancy in the privacy of your home , you will no doubt wonder about ...",abortion,"[(0, 19), (19, 37), (37, 62)]","[(20, 37)]",m1,0.944,IMP,C1.261,train,doc_930,post-abortive people live in fear that children they had before or after the abortion could easily die,DISP
"Minimumwage , as a kind of price floor , refers to the least amount of money that employers can legally pay labors for per hour of work . A common definition states that the living wage should be high enough that no more than 30 % of take-home pay needs to be spent on housing . Employers of employees who are subject to both state and federal minimum hourly wage rates must pay employees the higher of the two rates .",minimum wage,"[(0, 33), (33, 55), (55, 81)]","[(33, 55)]",-,1.0,PM,C1.1448,train,doc_5185,the living wage should be high enough that no more than 30 % of take-home pay needs to be spent on housing,PM
"The University of Michigan ’ s “ Monitoring the Future ” survey reported that daily marijuana use is already at a 30-year high among high school seniors , even as alcohol use has been declining . Marijuana prohibition has not stopped the use and production of the drug and it is high time that every one accepts this fact . Non-users can also enjoy activities during the food event , such as carnival games , music and other food offerings .",marijuana legalization,"[(0, 36), (36, 48), (48, 81)]","[(35, 48)]",m6,0.417,SP,C1.1038,train,doc_4154,. Marijuana prohibition has not stopped the use and production of the drug,SP
"But while some states are starting legal marijuana sales , other states are arguing over marijuana legalization , and still others are arresting people . Medical or recreational legalization will increase the chances of the drug falling into the hands of children . “ Marijuana is safer than alcohol , so marijuana should be treated like alcohol ” is a catchy , often-used mantra in the legalization debate .",marijuana legalization,"[(0, 25), (25, 42), (42, 69)]","[(25, 33)]",m1,0.471,SP,C1.1218,train,doc_4830,Medical or recreational legalization will increase the chances,SP
"However , the Basic Conditions of Employment Act ( BCEA ) permits the Minister of Labour to set minimum terms and conditions of employment , including Minimum Wages . Jobs paying less than the minimum wage , legally or otherwise , are typically more arduous and less secure than jobs in , say , chain stores or restaurants , where the minimum wage is more easily enforced . The Republic of China ( Taiwan ) government does not have a set minimum wage , but a basic wage in its Labor Standards Law serves the minimum wage function .",minimum wage,"[(0, 29), (29, 58), (58, 99)]","[(34, 58)]",m1,0.828,IMP,C1.1424,train,doc_5151,"minimum wage , legally or otherwise , are typically more arduous and less secure than jobs in , say , chain stores or restaurants",DISP
"A clone 's body was almost utterly defenseless against the negative aspects of the dark side , thus subjecting the clone to rapid aging and decay he goal of this process is not to create cloned human beings , but rather to harvest stem cells that can be used to study human development and to treat disease . `` Cloning may literally threaten the character of ...",cloning,"[(0, 26), (26, 58), (58, 67)]","[(26, 58)]",-,1.0,PM,C1.283,train,doc_1008,"he goal of this process is not to create cloned human beings , but rather to harvest stem cells that can be used to study human development and to treat disease .",PM
"Meanwhile , investors are scrambling to get on board anywhere in the new market and meet-ups involving dozens of potential growers and sellers are scheduled nearly every week . The annual revenue increase could possibly exceed $ 142 million . Whatever the reasons for Americans ' greater acceptance of marijuana , it is likely that this momentum will spur further legalization efforts across the United States .",marijuana legalization,"[(0, 29), (29, 39), (39, 67)]","[(31, 39)]",m1,0.8,IMP,C1.926,train,doc_4023,revenue increase could possibly exceed $ 142 million,DISP
"Under the Controlled Substances Act of 1970 , marijuana is classified as a Schedule 1 drug , one that is believed to have a high potential for ... Without the legalization of marijuana , the street price of marijuana will stay the same because there is a very limited and risky to purchase supply . Marijuana alone is able to cure medical conditions that often require multiple medications in order to fully control . If legalization opponents are proven right and legalization turns out to be a disaster , then the state reforms of recent years may soon be little more than a short-lived experiment before a return to marijuana prohibition .",marijuana legalization,"[(0, 34), (34, 54), (54, 55), (55, 73), (73, 112)]","[(32, 71)]",m8,0.923,MG,C3.1137,train,doc_4272,"marijuana , the street price of marijuana will stay the same because there is a very limited and risky to purchase supply . Marijuana alone is able to cure medical conditions that often require multiple medications in order to",MG
"As far as I know , any living plant can be cloned but you have to be mindful that their current condition at cloning is inherited by the clone . Considering the Risks Compromised Immune Functions : One of the greatest disadvantages of reproductive cloning , as cited by researchers is the high expense and uncertainty with regard to the outcome . The cell is then stimulated and if the process is successful , a cloned human embryo is produced that is genetically almost identical to the donor of the somatic cell .",cloning,"[(0, 37), (37, 61), (61, 93)]","[(37, 49)]",m1,0.5,SP,C1.515,train,doc_1957,"One of the greatest disadvantages of reproductive cloning , as cited by",SP
